sales_id,alias,created_at,sale_date
385193,5ed14231-b29e-4c33-9ee8-b9e92c8f6fa4,2019-09-02 23:58:39.525311+06,2019-09-02 06:00:00+06
385194,a350ca0a-39d9-46f9-abdf-ccac7993aa02,2019-09-03 00:01:17.330371+06,2019-09-02 06:00:00+06
385195,94232d8e-633b-4866-9d32-43d241721b4d,2019-09-03 00:02:51.700017+06,2019-09-02 06:00:00+06
385196,ddbbeccd-7fcf-4c43-b9c1-c6e8c1fbe9fa,2019-09-03 00:02:55.898879+06,2019-09-03 06:00:00+06
385197,6fb367f2-b287-4608-a8a9-a5c987ab7350,2019-09-03 00:03:02.189631+06,2019-09-02 06:00:00+06
385198,1b73ee6a-3170-4986-8ac2-26c7367554f5,2019-09-03 00:04:30.138536+06,2019-09-02 06:00:00+06
385199,81ffd624-5765-4709-a435-d01e5bfee8dc,2019-09-03 00:04:30.579941+06,2019-09-03 06:00:00+06
385200,2ee2a04a-5a20-48e0-b57c-532d9c99b2b6,2019-09-03 00:04:44.279043+06,2019-09-03 06:00:00+06
385201,6cf49c08-fec3-4bab-b3d0-f0355708d00b,2019-09-03 00:05:19.899238+06,2019-09-03 06:00:00+06
385202,ee9e803b-df8b-47c8-9e00-6a82946af9cc,2019-09-03 00:06:14.747142+06,2019-09-03 06:00:00+06
385203,eb378473-6ab0-4ae9-8659-b8ed3187edd1,2019-09-03 00:06:19.723332+06,2019-09-03 06:00:00+06
385204,0ca317f1-72b6-40a1-b668-5afafef464ec,2019-09-03 00:06:20.171379+06,2019-09-03 06:00:00+06
385205,537c62a4-15a9-4770-bf7c-cb3f92f78d53,2019-09-03 00:06:30.02613+06,2019-09-03 06:00:00+06
385206,db50ba01-9fa9-4af2-9311-e9f98fb5ef37,2019-09-03 00:07:41.154295+06,2019-09-02 06:00:00+06
385207,c70446d6-c1e5-47ce-939e-0a9a52d2b01e,2019-09-03 00:08:28.375556+06,2019-09-03 06:00:00+06
385208,5c5f1178-4c71-485f-8ce3-3a3266b43691,2019-09-03 00:08:49.936173+06,2019-09-02 06:00:00+06
385209,c5099b62-42f8-49b7-8879-cf7cb38a1805,2019-09-03 00:09:30.42339+06,2019-09-03 06:00:00+06
385210,138bcf3a-a32c-4ed6-be53-e235f3444334,2019-09-03 00:10:58.970023+06,2019-09-03 06:00:00+06
385211,746a3f8b-d832-4583-b975-c3ba2d30b4de,2019-09-03 00:11:18.796927+06,2019-09-03 06:00:00+06
385212,823b1e92-2fb2-4af8-a1a0-1be9756dd11f,2019-09-03 00:11:35.447065+06,2019-09-03 06:00:00+06
385213,16774013-36b6-41db-93c6-634860a1cd15,2019-09-03 00:11:35.542511+06,2019-09-03 06:00:00+06
385214,52a7716e-c6c2-4559-a83c-fda33146f655,2019-09-03 00:12:02.93084+06,2019-09-03 06:00:00+06
385215,8e8c9bf4-9998-461d-bab8-2dbd463408a2,2019-09-03 00:12:03.350583+06,2019-09-03 06:00:00+06
385216,ee7fe2c3-c709-431a-8817-602dc498c25b,2019-09-03 00:12:24.881125+06,2019-09-03 06:00:00+06
385217,3235ab91-2c5e-4141-ae92-51b49634c767,2019-09-03 00:13:03.222799+06,2019-09-03 06:00:00+06
385218,6385b9de-ca1b-44a5-ba63-0112c4d165cf,2019-09-03 00:13:15.356895+06,2019-09-03 06:00:00+06
385219,98bc06ff-e984-4424-a45e-fdbe295a6de9,2019-09-03 00:15:40.509962+06,2019-09-03 06:00:00+06
385220,45904efd-4129-44d9-9458-51cbe9eaff44,2019-09-03 00:19:03.448593+06,2019-09-03 06:00:00+06
385221,de9dbe06-8127-4167-a295-69ac17ad12ad,2019-09-03 00:20:45.737769+06,2019-09-03 06:00:00+06
385222,a025b512-e82b-4b60-8bba-bd053960f4f3,2019-09-03 00:21:46.853558+06,2019-09-03 06:00:00+06
385223,7b1aaf21-60ab-4081-8859-b26037e3d160,2019-09-03 00:22:04.752752+06,2019-09-03 06:00:00+06
385224,9088e8c6-3b65-4365-ad5a-4be58f41eab7,2019-09-03 00:25:30.557361+06,2019-09-03 06:00:00+06
385225,f864e83f-fab1-4cc6-9a72-780117834fec,2019-09-03 00:28:51.147318+06,2019-09-03 06:00:00+06
385226,87c57107-96d4-4f21-b7fc-84639d092f48,2019-09-03 00:30:30.41177+06,2019-09-03 06:00:00+06
385227,9deadf79-d016-4b7c-b064-8d0abfb629e2,2019-09-03 00:35:42.333213+06,2019-09-03 06:00:00+06
385228,a52c63ee-6868-499a-a08a-a2cb63f33e55,2019-09-03 00:42:29.909839+06,2019-09-03 06:00:00+06
385229,e740072e-bc0a-4d27-aa4e-78ca3151cf71,2019-09-03 00:44:19.271205+06,2019-09-03 06:00:00+06
385230,3b50ce42-3335-4e0f-bd94-dbda4756adb0,2019-09-03 00:48:47.942428+06,2019-09-03 06:00:00+06
385231,8cf1a424-027f-4aa1-82ef-9bb95ea8953b,2019-09-03 00:50:37.080445+06,2019-09-03 06:00:00+06
385232,09d76be9-3f8b-439f-8125-b151edd903bb,2019-09-03 00:51:46.134101+06,2019-09-03 06:00:00+06
385233,574ba551-105d-467a-9423-18c5cd898763,2019-09-03 00:53:48.041103+06,2019-09-03 06:00:00+06
385234,f8d4acac-5cdd-49e6-ad7d-337e2c757316,2019-09-03 00:54:03.363579+06,2019-09-03 06:00:00+06
385235,0d91b73e-aec1-4f9a-b796-480d58668ecb,2019-09-03 00:55:28.916184+06,2019-09-02 06:00:00+06
385236,4b3ab90a-e96a-42d1-b20f-d6500771ea88,2019-09-03 00:58:24.951444+06,2019-09-03 06:00:00+06
385237,788a0851-0eef-443b-b018-71438c60560d,2019-09-03 00:58:48.826373+06,2019-09-03 06:00:00+06
385238,4a31b519-3124-41d1-9219-f32a666c3d0b,2019-09-03 00:59:30.189862+06,2019-09-03 06:00:00+06
385239,970c71d0-b2bc-4b99-a562-c6165638d26e,2019-09-03 01:00:12.85424+06,2019-09-03 06:00:00+06
385240,fdb61290-e588-4f15-9b61-61c9aaf2fc3c,2019-09-03 01:00:33.236828+06,2019-09-03 06:00:00+06
385241,56cd1d9f-0191-497e-a606-b28c58ed2059,2019-09-03 01:02:11.759122+06,2019-09-03 06:00:00+06
385242,6e1c82f7-a856-4cb4-aea4-0ac102cd09a4,2019-09-03 01:02:40.647639+06,2019-09-03 06:00:00+06
385243,77a78dda-be2c-473e-b3b1-f419f3c2040a,2019-09-03 01:04:31.797017+06,2019-09-03 06:00:00+06
385244,035d0ba8-12d2-4de8-8337-6e21814ea5a5,2019-09-03 01:08:03.908206+06,2019-09-03 06:00:00+06
385245,7688d801-5350-44d6-ad6a-b650627a294d,2019-09-03 01:19:27.190168+06,2019-09-03 06:00:00+06
385246,75ef440b-50fb-4ae7-a07c-ed3c0076f447,2019-09-03 01:27:13.061195+06,2019-09-03 06:00:00+06
